key,title,keyWords,description,kickOffMoment,closeOutMoment,moreInfo,draftMode,key:manager
# base
project-01,"Innovation Alpha","AI, Machine Learning","A project focused on artificial intelligence innovations","2025/06/01 10:00","2025/12/31 18:00","http://example.com/alpha",true,manager-01
# title (ValidHeader: 1..75 chars)
# title - min boundary (1 char)
project-02,"A","AI, Machine Learning","A project focused on artificial intelligence innovations","2025/06/01 10:00","2025/12/31 18:00","http://example.com/alpha",true,manager-01
# title - min+1 boundary (2 chars)
project-03,"Ab","AI, Machine Learning","A project focused on artificial intelligence innovations","2025/06/01 10:00","2025/12/31 18:00","http://example.com/alpha",true,manager-01
# title - max-1 boundary (74 chars)
project-04,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmoo","AI, Machine Learning","A project focused on artificial intelligence innovations","2025/06/01 10:00","2025/12/31 18:00","http://example.com/alpha",true,manager-02
# title - max boundary (75 chars)
project-05,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod","AI, Machine Learning","A project focused on artificial intelligence innovations","2025/06/01 10:00","2025/12/31 18:00","http://example.com/alpha",true,manager-02
# title - unicode values
project-06,"โลเร็ม อิปซัม","AI, Machine Learning","A project focused on artificial intelligence innovations","2025/06/01 10:00","2025/12/31 18:00","http://example.com/alpha",true,manager-02
project-07,"洛伦·伊普森","AI, Machine Learning","A project focused on artificial intelligence innovations","2025/06/01 10:00","2025/12/31 18:00","http://example.com/alpha",true,manager-03
project-08,"لوريم إيبسوم","AI, Machine Learning","A project focused on artificial intelligence innovations","2025/06/01 10:00","2025/12/31 18:00","http://example.com/alpha",true,manager-03
# title - HTML injection
project-09,"<marquee>Hacked</marquee>","AI, Machine Learning","A project focused on artificial intelligence innovations","2025/06/01 10:00","2025/12/31 18:00","http://example.com/alpha",true,manager-03
project-10,"<script>alert('Hacked!');</script>","AI, Machine Learning","A project focused on artificial intelligence innovations","2025/06/01 10:00","2025/12/31 18:00","http://example.com/alpha",true,manager-01
project-11,"' or 'A' = 'A","AI, Machine Learning","A project focused on artificial intelligence innovations","2025/06/01 10:00","2025/12/31 18:00","http://example.com/alpha",true,manager-01
# keyWords (ValidHeader: 1..75 chars)
# keyWords - min boundary (1 char)
project-12,"Innovation Alpha","A","A project focused on artificial intelligence innovations","2025/06/01 10:00","2025/12/31 18:00","http://example.com/alpha",true,manager-01
# keyWords - min+1 boundary (2 chars)
project-13,"Innovation Alpha","AI","A project focused on artificial intelligence innovations","2025/06/01 10:00","2025/12/31 18:00","http://example.com/alpha",true,manager-02
# keyWords - max-1 boundary (74 chars)
project-14,"Innovation Alpha","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmoo","A project focused on artificial intelligence innovations","2025/06/01 10:00","2025/12/31 18:00","http://example.com/alpha",true,manager-02
# keyWords - max boundary (75 chars)
project-15,"Innovation Alpha","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod","A project focused on artificial intelligence innovations","2025/06/01 10:00","2025/12/31 18:00","http://example.com/alpha",true,manager-02
# keyWords - unicode values
project-16,"Innovation Alpha","โลเร็ม อิปซัม","A project focused on artificial intelligence innovations","2025/06/01 10:00","2025/12/31 18:00","http://example.com/alpha",true,manager-03
project-17,"Innovation Alpha","洛伦·伊普森","A project focused on artificial intelligence innovations","2025/06/01 10:00","2025/12/31 18:00","http://example.com/alpha",true,manager-03
# description (ValidText: 1..255 chars)
# description - min boundary (1 char)
project-18,"Innovation Alpha","AI, Machine Learning","A","2025/06/01 10:00","2025/12/31 18:00","http://example.com/alpha",true,manager-01
# description - min+1 boundary (2 chars)
project-19,"Innovation Alpha","AI, Machine Learning","Ab","2025/06/01 10:00","2025/12/31 18:00","http://example.com/alpha",true,manager-01
# description - max-1 boundary (254 chars)
project-20,"Innovation Alpha","AI, Machine Learning","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*","2025/06/01 10:00","2025/12/31 18:00","http://example.com/alpha",true,manager-02
# description - max boundary (255 chars)
